secid,date,ticker,low,high,open,close
108105,2019-06-13,SPX,2881.99,2895.24,2886.24,2891.64
108105,2019-06-14,SPX,2879.62,2894.45,2886.82,2886.98
108105,2019-06-17,SPX,2887.3,2897.27,2889.75,2889.67
108105,2019-06-18,SPX,2905.44,2930.79,2906.71,2917.75
108105,2019-06-19,SPX,2911.43,2931.74,2920.55,2926.46
108105,2019-06-20,SPX,2931.5,2958.06,2949.6,2954.18
108105,2019-06-21,SPX,2946.87,2964.15,2952.71,2950.46
108105,2019-06-24,SPX,2944.05,2954.92,2951.42,2945.35
108105,2019-06-25,SPX,2916.01,2946.52,2945.78,2917.38
108105,2019-06-26,SPX,2912.99,2932.59,2926.07,2913.78
108105,2019-06-27,SPX,2918.57,2929.3,2919.66,2924.92
108105,2019-06-28,SPX,2929.05,2943.98,2932.94,2941.76
108105,2019-07-01,SPX,2952.22,2977.93,2971.41,2964.33
108105,2019-07-02,SPX,2955.92,2973.21,2964.66,2973.01
108105,2019-07-03,SPX,2977.96,2995.84,2978.08,2995.82
108105,2019-07-05,SPX,2967.97,2994.03,2984.25,2990.41
108105,2019-07-08,SPX,2970.09,2980.76,2979.77,2975.95
